BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 1001  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
7279.76375794406  1.339328E-18
7283.32144546504  1.285965E-18
7286.87913298602  1.403450E-18
7290.436820507  1.434613E-18
7293.99450802798  1.208076E-18
7297.55219554896  1.291250E-18
7301.10988306994  1.434599E-18
7304.66757059092  1.296003E-18
7308.2252581119  1.084391E-18
7311.78294563289  1.265184E-18
7315.34063315387  9.850976E-19
7318.89832067485  1.024938E-18
7322.45600819583  1.335616E-18
7326.01369571681  1.218674E-18
7329.57138323779  1.038244E-18
7333.12907075877  8.412614E-19
7336.68675827975  7.986348E-19
7340.24444580073  9.608906E-19
7343.80213332171  1.332866E-18
7347.35982084269  1.373867E-18
7350.91750836367  1.226061E-18
7354.47519588466  1.190941E-18
7358.03288340564  1.308255E-18
7361.59057092662  1.255314E-18
7365.1482584476  1.096359E-18
7368.70594596858  1.307463E-18
7372.26363348956  1.289150E-18
7375.82132101054  1.345847E-18
7379.37900853152  1.178603E-18
7382.9366960525  1.373213E-18
7386.49438357348  1.246986E-18
7390.05207109446  1.267278E-18
7393.60975861545  1.047441E-18
7397.16744613643  1.253799E-18
7400.72513365741  1.289593E-18
7404.28282117839  1.273004E-18
7407.84050869937  1.396792E-18
7411.39819622035  1.334446E-18
7414.95588374133  1.377298E-18
7418.51357126231  1.378552E-18
7422.07125878329  1.445308E-18
7425.62894630427  1.289097E-18
7429.18663382525  1.210921E-18
7432.74432134623  1.159726E-18
7436.30200886721  1.184627E-18
7439.8596963882  1.161667E-18
7443.41738390918  1.273680E-18
7446.97507143016  1.223399E-18
7450.53275895114  1.267656E-18
7454.09044647212  1.226955E-18
7457.6481339931  1.002395E-18
7461.20582151408  1.071885E-18
7464.76350903506  1.205989E-18
7468.32119655604  1.131277E-18
7471.87888407702  1.072935E-18
7475.436571598  1.034719E-18
7478.99425911898  1.253689E-18
7482.55194663996  1.102024E-18
7486.10963416095  1.070273E-18
7489.66732168193  1.018542E-18
7493.22500920291  9.527653E-19
7496.78269672389  9.473339E-19
7500.34038424487  9.101404E-19
7503.89807176585  9.593720E-19
7507.45575928683  1.054342E-18
7511.01344680781  9.571259E-19
7514.57113432879  9.727327E-19
7518.12882184977  9.275725E-19
7521.68650937075  1.035996E-18
7525.24419689173  1.094771E-18
7528.80188441272  1.212307E-18
7532.3595719337  1.078171E-18
7535.91725945468  9.139010E-19
7539.47494697566  1.100401E-18
7543.03263449664  1.244003E-18
7546.59032201762  1.024461E-18
7550.1480095386  1.023084E-18
7553.70569705958  9.430507E-19
7557.26338458056  9.308348E-19
7560.82107210154  1.014389E-18
7564.37875962252  1.177593E-18
7567.9364471435  1.084239E-18
7571.49413466449  1.030531E-18
7575.05182218547  1.039755E-18
7578.60950970645  1.065801E-18
7582.16719722743  1.098000E-18
7585.72488474841  1.045317E-18
7589.28257226939  1.058921E-18
7592.84025979037  9.340080E-19
7596.39794731135  9.029212E-19
7599.95563483233  7.087188E-19
7603.51332235331  6.601047E-19
7607.07100987429  8.544497E-19
7610.62869739527  9.396767E-19
7614.18638491626  7.651596E-19
7617.74407243724  7.651647E-19
7621.30175995822  8.485585E-19
7624.8594474792  8.520490E-19
7628.41713500018  9.643034E-19
7631.97482252116  9.933735E-19
7635.53251004214  8.985051E-19
7639.09019756312  9.164218E-19
7642.6478850841  1.051186E-18
7646.20557260508  9.701149E-19
7649.76326012606  9.615156E-19
7653.32094764704  1.024369E-18
7656.87863516803  9.113662E-19
7660.43632268901  1.096668E-18
7663.99401020999  1.136807E-18
7667.55169773097  1.285765E-18
7671.10938525195  1.104399E-18
7674.66707277293  1.060259E-18
7678.22476029391  1.169729E-18
7681.78244781489  1.139680E-18
7685.34013533587  9.878969E-19
7688.89782285685  1.020505E-18
