	Wave (A)	FluxDens(1d-15)   Err
       6200.9600       8.7742361     0.082197635
       6201.4500       8.8001194     0.082496303
       6201.9400       8.8762813     0.083179219
       6202.4300       8.7459646     0.082647568
       6202.9200       8.7449000     0.082375471
       6203.4100       8.7385951     0.082220441
       6203.9000       8.7526775     0.082146372
       6204.3900       8.7492498     0.082100796
       6204.8800       8.7112644     0.081988690
       6205.3700       8.7493085     0.082105908
       6205.8600       8.7990695     0.082353072
       6206.3500       8.7421317     0.082080607
       6206.8400       8.8093370     0.082445149
       6207.3300       8.8123536     0.082503174
       6207.8200       8.7473805     0.082228529
       6208.3100       8.8354468     0.082612578
       6208.8000       8.7932471     0.082387099
       6209.2900       8.7525002     0.082242073
       6209.7800       8.7521657     0.082295689
       6210.2700       8.7345103     0.082295116
       6210.7600       8.7397019     0.082333435
       6211.2500       8.5996146     0.081595845
       6211.7400       8.7268955     0.082124063
       6212.2300       8.7327623     0.082325263
       6212.7200       8.6864249     0.082188230
       6213.2100       8.6461790     0.081808285
       6213.7000       8.6659462     0.081805081
       6214.1900       8.7807947     0.082311282
       6214.6800       8.8073866     0.082400195
       6215.1700       8.6934111     0.081872897
       6215.6600       8.6126203     0.081487646
       6216.1500       8.5153428     0.081192674
       6216.6400       8.6521176     0.081820300
       6217.1300       8.7081537     0.082011283
       6217.6200       8.5778273     0.081394627
       6218.1100       8.6961477     0.081910937
       6218.6000       8.7009193     0.081895014
       6219.0900       8.7594849     0.082170439
       6219.5800       8.5676960     0.081291949
       6220.0700       8.5986860     0.081503219
       6220.5600       8.5519334     0.081514788
