	Wave (A)	FluxDens(1d-15)   Err
       4077.3600       21.023219      0.12966911
       4077.8500       20.921392      0.12929093
       4078.3400       20.961097      0.12923375
       4078.8300       21.025104      0.12930589
       4079.3200       21.035686      0.12932642
       4079.8100       21.012412      0.12928937
       4080.3000       20.834819      0.12871137
       4080.7900       20.831316      0.12865508
       4081.2800       21.048506      0.12929153
       4081.7700       21.131051      0.12949583
       4082.2600       21.061952      0.12924658
       4082.7500       20.911108      0.12875106
       4083.2400       20.903910      0.12867332
       4083.7300       20.956370      0.12876985
       4084.2200       21.019231      0.12894927
       4084.7100       20.993191      0.12887404
       4085.2000       20.857257      0.12844211
       4085.6900       20.914543      0.12859264
       4086.1800       21.015583      0.12889569
       4086.6700       20.870148      0.12838333
       4087.1600       20.684766      0.12771916
       4087.6500       20.756354      0.12790911
       4088.1400       20.987362      0.12859124
       4088.6300       21.040728      0.12871588
       4089.1200       20.787937      0.12790691
       4089.6100       20.757588      0.12775980
       4090.1000       21.031425      0.12852062
       4090.5900       21.039102      0.12854121
       4091.0800       20.864452      0.12800232
       4091.5700       20.903412      0.12808361
       4092.0600       20.810828      0.12777412
       4092.5500       20.683973      0.12737647
       4093.0400       20.751498      0.12752326
       4093.5300       20.794480      0.12759304
       4094.0200       20.825590      0.12774723
       4094.5100       20.828984      0.12769053
       4095.0000       20.815204      0.12759413
       4095.4900       20.906064      0.12785028
       4095.9800       20.969272      0.12801503
       4096.4700       20.951318      0.12794258
       4096.9600       20.803729      0.12745725
       4097.4500       20.929061      0.12774935
       4097.9400       20.878468      0.12755755
       4098.4300       20.812107      0.12738675
       4098.9200       20.894325      0.12759770
       4099.4100       20.881138      0.12756572
       4099.9000       20.981523      0.12778412
       4100.3900       20.885956      0.12743635
       4100.8800       20.801138      0.12717792
       4101.3700       20.839621      0.12722644
       4101.8600       20.850351      0.12724408
       4102.3500       20.750298      0.12695039
       4102.8400       20.737849      0.12688016
       4103.3300       20.887582      0.12729236
       4103.8200       20.879754      0.12719563
       4104.3100       21.055819      0.12770801
       4104.8000       20.860567      0.12707091
       4105.2900       20.984138      0.12737555
       4105.7800       20.893222      0.12712228
       4106.2700       20.823952      0.12698448
       4106.7600       20.693431      0.12652895
       4107.2500       20.779567      0.12679674
       4107.7400       20.815721      0.12686062
       4108.2300       20.748611      0.12661124
       4108.7200       20.828161      0.12683871
       4109.2100       20.866439      0.12689232
       4109.7000       20.964093      0.12709948
       4110.1900       20.936929      0.12685526
       4110.6800       20.869682      0.12660401
       4111.1700       20.930774      0.12677253
       4111.6600       20.981497      0.12686009
       4112.1500       21.014307      0.12693559
       4112.6400       21.206450      0.12748557
       4113.1300       21.205132      0.12744144
       4113.6200       20.966839      0.12671371
       4114.1100       21.052809      0.12695111
       4114.6000       21.061157      0.12698576
       4115.0900       21.144708      0.12718119
       4115.5800       21.147696      0.12712385
       4116.0700       21.446274      0.12792766
       4116.5600       21.437154      0.12782531
       4117.0500       21.347285      0.12747797
       4117.5400       21.360042      0.12744378
       4118.0300       21.459492      0.12775435
       4118.5200       21.575987      0.12802030
       4119.0100       21.786427      0.12858551
       4119.5000       21.774296      0.12852128
       4119.9900       21.891930      0.12881548
       4120.4800       22.053329      0.12929295
       4120.9700       22.124857      0.12946963
       4121.4600       22.233905      0.12973591
       4121.9500       22.779062      0.13128132
       4122.4400       23.288868      0.13268495
       4122.9300       24.080871      0.13487685
       4123.4200       25.590283      0.13892610
       4123.9100       28.087993      0.14540147
       4124.4000       30.628202      0.15175801
       4124.8900       32.208340      0.15555301
       4125.3800       32.753853      0.15679246
       4125.8700       32.003376      0.15497731
       4126.3600       29.817873      0.14955205
       4126.8500       26.880028      0.14199149
       4127.3400       24.607587      0.13593600
       4127.8300       23.348700      0.13239658
       4128.3200       22.776942      0.13074454
       4128.8100       22.469838      0.12984540
       4129.3000       22.214758      0.12902687
       4129.7900       21.994478      0.12832701
       4130.2800       21.757248      0.12763018
       4130.7700       21.751360      0.12758627
       4131.2600       21.642737      0.12720602
       4131.7500       21.450081      0.12658537
       4132.2400       21.398038      0.12642869
       4132.7300       21.394415      0.12643378
       4133.2200       21.345405      0.12625250
       4133.7100       21.198231      0.12571923
       4134.2000       21.090776      0.12530823
       4134.6900       21.102788      0.12530097
       4135.1800       21.160138      0.12546606
       4135.6700       21.091391      0.12522574
       4136.1600       20.942546      0.12472329
       4136.6500       20.902222      0.12454936
       4137.1400       20.903115      0.12448807
       4137.6300       20.872851      0.12437124
       4138.1200       20.827246      0.12419173
       4138.6100       20.696785      0.12375462
       4139.1000       20.687070      0.12372746
       4139.5900       20.768383      0.12395181
       4140.0800       20.667755      0.12360511
       4140.5700       20.655964      0.12347755
       4141.0600       20.568930      0.12311958
       4141.5500       20.513687      0.12291441
       4142.0400       20.621157      0.12316827
       4142.5300       20.589734      0.12302868
       4143.0200       20.597367      0.12302837
       4143.5100       20.683875      0.12322125
       4144.0000       20.753406      0.12341550
       4144.4900       20.797132      0.12352866
       4144.9800       20.728405      0.12329988
       4145.4700       20.704704      0.12319647
       4145.9600       20.491645      0.12249527
       4146.4500       20.281137      0.12181800
